Date,Cases 0-17,Cases 18-24,Cases 25-34,Cases 35-44,Cases 45-54,Cases 55-64,Cases 65-74,Cases 75-84,Cases 85+,Deaths 0-17,Deaths 18-24,Deaths 25-34,Deaths 35-44,Deaths 45-54,Deaths 55-64,Deaths 65-74,Deaths 75-84,Deaths 85+,
4/27/20,36,187,353,318,411,377,227,133,84,0,0,2,3,4,7,5,11,7,
4/28/20,37,189,353,326,415,377,229,139,86,0,0,2,3,5,7,5,13,7,
4/29/20,43,191,375,337,429,390,246,150,91,0,0,2,3,5,7,5,15,7,
4/30/20,45,204,403,362,454,415,253,157,100,0,0,2,3,5,7,5,15,8,
5/1/20,50,225,453,376,475,427,262,160,108,0,0,2,3,5,7,5,18,10,
5/2/20,51,243,475,388,489,442,269,163,115,0,0,2,3,5,8,5,18,11,
5/3/20,52,257,507,407,499,451,280,167,122,0,0,2,3,5,8,5,18,11,
5/4/20,57,267,520,420,512,464,286,171,120,0,0,2,3,5,8,9,19,11,
5/5/20,60,274,528,425,529,474,285,178,118,0,0,2,3,5,8,11,19,13,
5/6/20,63,286,551,441,552,492,300,193,123,0,0,2,3,5,8,12,19,16,
5/7/20,63,289,564,463,567,511,308,199,125,0,0,2,3,5,9,12,19,16,
5/8/20,67,319,590,493,591,525,316,204,132,0,0,2,4,6,10,12,20,17,
5/9/20,79,333,611,513,611,553,326,214,137,0,0,2,4,7,10,12,21,18,
5/10/20,87,340,633,523,625,574,345,225,147,0,0,2,4,8,10,12,22,18,
5/11/20,91,343,640,536,633,580,349,231,151,0,0,2,4,8,10,12,22,18,
5/12/20,93,349,647,540,639,593,357,231,152,0,0,2,4,8,10,13,22,18,
5/13/20,100,366,670,554,653,608,372,253,172,0,0,2,4,8,11,13,22,20,
5/14/20,114,388,711,587,693,634,401,262,177,0,0,2,4,8,11,13,22,20,
5/15/20,128,412,744,614,713,654,412,267,180,0,0,2,4,8,11,13,26,20,
5/16/20,129,419,763,628,742,670,414,274,182,0,0,2,4,8,11,13,28,20,
5/17/20,136,431,777,651,767,692,432,290,199,0,0,2,4,8,11,14,28,21,
5/18/20,139,439,791,654,778,699,439,291,203,0,0,2,4,8,11,14,28,21,
5/19/20,139,443,803,662,788,707,442,300,215,0,0,2,4,8,11,14,28,21,
5/20/20,154,468,850,701,840,747,452,309,220,0,0,2,4,9,14,16,28,25,
5/21/20,155,482,871,707,859,762,460,318,226,0,0,2,4,11,15,19,31,30,
5/22/20,158,492,890,725,875,779,469,323,229,0,0,2,4,11,15,20,35,31,
5/23/20,167,501,946,764,923,795,488,336,236,0,0,2,4,11,16,23,38,36,
5/24/20,188,513,977,798,949,817,496,346,251,0,0,2,4,11,16,24,38,36,
5/25/20,199,527,993,821,975,835,508,356,254,0,0,2,4,11,16,24,38,36,
5/26/20,210,535,1017,838,999,848,515,358,257,0,0,2,4,11,16,24,38,36,
5/27/20,222,552,1036,850,1017,851,522,352,243,0,0,3,5,11,16,24,39,38,
5/28/20,229,563,1054,870,1032,865,528,356,247,0,0,3,5,12,16,25,39,42,
5/29/20,236,574,1091,894,1060,893,550,369,256,0,0,3,5,13,17,26,39,42,
5/30/20,246,593,1116,923,1091,919,565,380,267,0,0,3,5,13,17,27,39,42,
5/31/20,254,612,1146,948,1121,947,577,388,268,0,0,3,5,13,17,27,40,42,
6/1/20,262,631,1179,973,1148,982,608,408,283,0,0,3,5,13,17,27,40,42,
6/2/20,269,641,1207,991,1162,994,610,413,287,0,0,3,5,13,17,27,42,43,
6/3/20,273,655,1241,1005,1190,1005,608,413,288,0,0,3,5,13,17,27,43,50,
6/4/20,276,659,1251,1019,1199,1020,625,427,307,0,0,3,6,13,17,29,47,52,
6/5/20,289,692,1306,1056,1244,1067,645,440,324,0,0,3,6,13,18,31,47,56,
